Platform,Year_of_Release,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
